date,Stock,Return
1990-01-03,,
1990-01-04,904261,5.000000000000004
1990-01-05,923024,3.4545454545454657
1990-01-08,921795,1.5310233682514163
1990-01-09,929813,3.405405405405393
1990-01-10,936365,1.6393442622950838
1990-01-11,904261,0.406250000000008
1990-01-12,905270,2.0229885057471364
1990-01-15,902355,-1.0048231511254002
1990-01-16,921795,0.4340277777777901
1990-01-17,936365,8.62068965517242
1990-01-18,902355,0.0
1990-01-19,916328,2.0868951667616598
1990-01-22,929813,1.43843498273879
1990-01-23,936365,0.0
1990-01-24,921795,4.33275563258233
1990-01-25,905270,3.4184138559708366
1990-01-26,905270,1.6306743058616124
1990-01-29,902355,1.6521739130434643
1990-01-30,929813,2.2028985507246412
1990-01-31,902355,1.6170212765957315
1990-02-01,904261,6.026785714285721
1990-02-02,921795,1.9469026548672552
1990-02-05,929813,2.857142857142847
1990-02-06,936365,1.7857142857142794
1990-02-07,929813,2.8169014084507005
1990-02-08,936365,5.35714285714286
1990-02-09,905270,1.5959680806383991
1990-02-12,929813,2.796420581655479
1990-02-13,904261,1.4074074074074128
